DACE name	DACE id	coordinates (DACE)	number_obs	number_nights	nr_qc_passed	last_night	last_obs	time_span	last_obs_qc_passed	catalog name	SIMBAD id	ra	dec	priority	cadence [d]	comments for the observer	observable during the night	observable 22-23h	observable 23-00h	observable 00-01h	observable 01-02h	observable 02-03h	observable 03-04h	observable 04-05h	observable 05-06h	observable 06-07h	observable 07-08h	observable 08-09h	observable 09-10h	observable 10-11h	observable 11-12h	observable 12-13h	observable 13-14h	days since last obs	days overdue	cadence percentage overdue [%]
HD358850	1271692	21:05:43.5 / -16:54:50	19	19	16	2023-10-05	60223.63836015016	535.7264696103521	60223.63836015016	HD358850	HD 358850	21:05:43	-16:54:50	3	40		True	False	False	True	True	True	True	False	False	False	False	False	False	False	False	False	False	14.199789143633097	-25.800210856366903	-64.50052714091726
HD205310	3386943	21:36:51.3 / -60:26:25	4	4	3	2023-08-21	60178.80275129015	463.9132325700484	60075.90837308997	HD205310	HD 205310	21:36:51	-60:26:25	2	70		True	False	False	True	True	True	True	True	False	False	False	False	False	False	False	False	False	59.035398003637965	-10.964601996362035	-15.663717137660049
CD-81812	3304758	21:44:15.3 / -80:31:34	2	2	2	2023-05-12	60077.86889617983	229.22564407996836	60077.86889617983	CD-81812	CD-81   812	21:44:15	-80:31:34	None	9999	SB2, stop	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	159.96925311395898	-9839.030746886041	-98.40014748360876
CD-672555	3336641	22:36:06.1 / -66:55:33	15	15	15	2023-08-16	60173.8363024001	2885.126507049892	60173.8363024001	CD-672555	CD-67  2555	22:36:07	-66:55:33	1	70		True	False	False	True	True	True	True	True	False	False	False	False	False	False	False	False	False	64.00184689369053	-5.9981531063094735	-8.568790151870678
HD214100	1364004	22:36:09.8 / -0:50:40	11	11	10	2023-09-23	60211.56883873977	498.6841525696218	60211.56883873977	HD214100	HD 214100	22:36:10	-00:50:40	1	70		True	False	False	True	True	True	True	True	False	False	False	False	False	False	False	False	False	26.269310554023832	-43.73068944597617	-62.47241349425167
CD-672556A	9905176	22:37:29.3 / -67:06:15	3	3	3	2023-09-23	60211.5469722501	362.8655007202178	60211.5469722501	CD-672556A	CD-67  2556A	22:37:29	-67:06:15	2	70		True	False	False	True	True	True	True	True	False	False	False	False	False	False	False	False	False	26.291177043691278	-43.70882295630872	-62.44117565186961
HD218294	1274955	23:07:07.2 / -23:09:38	14	14	14	2023-09-20	60208.72691954998	2931.9801038000733	60208.72691954998	HD218294	HD 218294	23:07:07	-23:09:38	2	30		True	False	False	True	True	True	True	True	True	False	False	False	False	False	False	False	False	29.111229743808508	-0.8887702561914921	-2.962567520638307
HD219630	1149044	23:17:38.4 / -42:11:31	5	5	5	2023-09-28	60216.67909927992	2193.0907918098383	60216.67909927992	HD219630	HD 219630	23:17:38	-42:11:31	3	120		True	False	False	True	True	True	True	True	True	True	False	False	False	False	False	False	False	21.15905001387	-98.84094998613	-82.367458321775
BD-025958	1366270	23:27:05.2 / -1:17:07	3	3	3	2023-09-23	60211.60401399015	348.90497197024524	60211.60401399015	BD-025958	BD-02  5958	23:27:05	-01:17:07	3	90		True	False	False	True	True	True	True	True	True	False	False	False	False	False	False	False	False	26.23413530363905	-63.76586469636095	-70.85096077373439
BD-035691	1366714	23:42:10.4 / -2:34:42	3	3	3	2023-08-16	60173.86007972993	311.12484310986474	60173.86007972993	BD-035691	BD-03  5691	23:42:10	-02:34:42	3	120		True	False	False	True	True	True	True	True	True	False	False	False	False	False	False	False	False	63.978069563861936	-56.021930436138064	-46.68494203011505
CD-4115360	11589695	23:57:16.5 / -41:06:38	3	3	2	2023-09-23	60211.584481359925	366.84239446977153	60211.584481359925	CD-4115360	CD-41 15360	23:57:17	-41:06:38	2	70		True	False	False	True	True	True	True	True	True	True	False	False	False	False	False	False	False	26.25366793386638	-43.74633206613362	-62.4947600944766
